source,key,text
Human,yelp-0,"This place has been a personal family tradition for over 40 years. From the days when you could order their'steak that's not on the menu' for under 9.00, to the raved BBQ Baby Back Ribs, to their NY pizza joint. The food is abundant, inexpensive, and good.'The place for the locals', the payouts are great, and the vibe is kickback from the craziness hoopla from the Strip. Their legendary karaoke room has been around longer than the fad itself. A strong recommend for any tourist who.wants something other than the Strip."
Tsinghua,yelp-0,"This place has been a personal family tradition for over 40 years. From the days when you could order their'steak that's not on the menu' for under 9.00, to the new modern decor, it's always been the same old reliable place to get a great meal for a reasonable price. The freshest of ingredients, all cooked in house and served up in a warm and friendly atmosphere."
LLAMA,yelp-0,"This place has been a personal family tradition for over 40 years. From the days when you could order their'steak that's not on the menu' for under 9.00, to the days of the all you can eat buffet, to the today with the daily specials and great burgers. The owner has worked there since I was a kid and knows everyone by name. I have eaten there on days when they have no menu out and I have had to tell the waitress what I want and she goes to the kitchen and they cook it for me! My dad passed away in 2004, but his family has not left his favorite restaurant. The food is great and the owners are great. From Business: Established in 2006, The Arbor Bar Grill is an American cuisine restaurant located in Bay Shore, NY. 22. Sweet Treats Ice Cream Candy Shop Inc. Awesome food. Great service. A little pricey but worth it."
Eleuther-AI,yelp-0,"This place has been a personal family tradition for over 40 years. From the days when you could order their'steak that's not on the menu' for under 9.00, to the current day of 'all items are available'. The food is old school and cheaply priced (less than 8 bucks), with no frills attached...just good honest home-style cooking like grandma used make it! The portions here can feed three or four people very well - which makes this an ideal spot if your party isn't too large but everyone wants something different from dinner anyway..and they have lotsa beer there as icing onto cake!! Jammed most nights so get in early before ""the rush"" gets outta hand!!!"
OpenAI,yelp-0,"This place has been a personal family tradition for over 40 years. From the days when you could order their'steak that's not on the menu' for under 9.00, to the current times where they have expanded their menu and prices have increased, this restaurant has remained a favorite spot for your family. Can I assist you with anything specific related to this restaurant or your visit there?"
PaLM,yelp-0,"This place has been a personal family tradition for over 40 years. From the days when you could order their'steak that's not on the menu' for under 9.00, to the now 'upscale' menu with a higher price point, the food has always been great and the service has always been excellent. The staff is friendly and knowledgeable, and they are always willing to help you choose the perfect meal. They also have a great selection of wines to pair with your meal. If you're looking for a great place to eat with family or friends, I highly recommend this place."
BigScience,yelp-0,"This place has been a personal family tradition for over 40 years. From the days when you could order their'steak that's not on the menu' for under 9.00, to the thousands that have gone by, Rusty and Anne have brought us wonderful food at affordable prices. After all this time they still continue to make our meals memorable! We were lucky enough to get some of their outstanding desserts. One was something called an 'old school ice cream sandwich' - made with vanilla bean ice cream between two flaky pastries in which a piece of old-fashioned chocolate cake sat as its centerpiece (I had no idea what it tasted like until I saw photos on Facebook). The other dessert we enjoyed was homemade cherry pie filling served in mini cakes with fresh cherries baking on top! In addition to dining here every night after work, we've often visited during business hours too. When working out there are always open tables so if you're hungry while waiting for your colleagues to finish up, there's nothing wrong with stopping in and having lunch or dinner instead. Our last visit before heading home was quite special because a friend had just moved into her own apartment across from this restaurant, where she works part-time. So upon walking inside we met three friends who loved this spot even more than we did!"
Human,yelp-1,"The Peppermill defies description. Refined tackiness. Utterly Craptastic. Could it be that a Flamingo exploded in this place to give it the outragious pink hues? All kidding aside, the best thing about this restaurant is the decor. It screams cheesiness and vintage Vegas, with its faux neon lights and the veritable faux forest. When was the last time you saw a deciduous tree in the middle of the desert? I love the decor, and make sure that I always step into the lounge, open 24 hours a day, to see the fire and water fountain as well as the cocktail servers in the evening gowns split up to...here. Now to the substance. Peppermill is an institution. It has been around seeming forever, and had a scene from Casino filmed there with Sharon Stone. The food is average, at best. It is also overpriced. The place is best on its breakfast foods, in my humble opinion. The omelets are huge, but again, overpriced. The appetizer sampler platter is good, but overpriced. Oddly enough, the onion rings on the appetizer platter are different than the onion rings as a side item. I recommend this place for drinks in the lounge, and for breakfast on the weekends if you are staying on the Strip. The place, while overpriced, is still cheaper than the buffet. And more fun. Are you noticing a trend here? I will hit you over the head with it one more time...overpriced."
Eleuther-AI,yelp-1,"The Peppermill defies description. Refined tackiness. Utterly Craptastic. Could it be that a Flamingo exploded in this place to give it the outragious pink hues? All kidding aside, the best part about eating here is your complimentary drink dispenser! Saved by our server one time for not being able...More"
BigScience,yelp-1,"The Peppermill defies description. Refined tackiness. Utterly Craptastic. Could it be that a Flamingo exploded in this place to give it the outragious pink hues? All kidding aside, the best thing about The Peppermill is its barbecue sauce - which was nailed perfectly for my tastes - and its burgers: beef patties from quality meats, but with an odd mix of onion-rind crumbles, brie cheese and smoky herbs. I realize we're not talking gourmet fare here; although I have no doubt the restaurant's menu will improve over time as Chef Nate develops his signature cuisine. (And yes, buns are included.) But there were plenty of good things at The Peppermill, such as the large lunch plates (including new offerings like macaroni salad) or the red-wine-braised cod served with purple sweet potato puree and salty shallots. One slight misstep came in the form of The Bad-Luck Cheese Sandwiches, named after a series of food-related disasters that occurred within 10 feet of the restaurant. (Cleansers, pasta sauces sprayed on counter tops by mistake? You get what you paid for.) If you're looking for somewhere cool to hangout while eating delicious food, go visit Lapa Grill Bar for your next date night!"
